p,h_avg,h_max,n_avg,n_max,t_avg,t_max,singleton_ratio,nonsingletonClasses
181,8.276243093922652,27,8.121546961325967,31,2.1470588235294117,4,0.5966850828729282,34
179,7.715083798882682,40,9.307262569832401,32,2.1379310344827585,3,0.6536312849162011,29
191,9.162303664921465,37,8.528795811518325,30,2.235294117647059,5,0.6020942408376964,34
193,8.55958549222798,33,9.471502590673575,32,2.2058823529411766,4,0.6113989637305699,34
199,8.487437185929648,34,8.688442211055277,34,2.3333333333333335,4,0.5778894472361809,36
197,8.786802030456853,31,8.279187817258883,33,2.272727272727273,4,0.6192893401015228,33
211,8.687203791469194,33,9.611374407582938,36,2.2903225806451615,4,0.6635071090047393,31
223,9.304932735426009,30,9.457399103139014,40,2.1794871794871793,4,0.6188340807174888,39
229,10.117903930131005,33,8.986899563318778,43,2.2439024390243905,4,0.5982532751091703,41
227,9.22907488986784,34,9.647577092511014,30,2.2051282051282053,4,0.6211453744493393,39
233,9.63519313304721,38,9.188841201716738,42,2.075,3,0.6437768240343348,40
239,9.92468619246862,31,8.94142259414226,38,2.4285714285714284,4,0.5732217573221757,42
241,10.1701244813278,37,10.053941908713693,38,2.1,3,0.6514522821576764,40
251,9.087649402390438,38,9.756972111553784,45,2.2448979591836733,4,0.5617529880478087,49
263,10.802281368821292,46,9.897338403041825,38,2.186046511627907,4,0.6425855513307985,43
271,9.85239852398524,53,10.457564575645756,40,2.32,4,0.5719557195571956,50
269,10.579925650557621,39,10.066914498141264,37,2.260869565217391,3,0.6133828996282528,46
257,10.295719844357977,39,10.575875486381323,46,2.1627906976744184,3,0.6381322957198443,43
283,9.696113074204947,39,10.812720848056538,41,2.2363636363636363,4,0.5653710247349824,55
281,10.113879003558718,41,10.316725978647687,43,2.2448979591836733,3,0.608540925266904,49
277,10.736462093862816,44,10.653429602888087,52,2.119047619047619,3,0.6787003610108303,42
293,10.679180887372013,46,9.74061433447099,41,2.267857142857143,3,0.5665529010238908,56
307,10.859934853420196,42,11.146579804560261,50,2.272727272727273,4,0.6742671009771987,44
311,11.360128617363344,60,10.72668810289389,53,2.2941176470588234,4,0.6237942122186495,51
313,10.616613418530351,47,11.329073482428115,51,2.2615384615384615,5,0.5303514376996805,65
317,10.006309148264984,52,11.10410094637224,44,2.3220338983050848,4,0.5678233438485805,59
347,12.52449567723343,56,11.829971181556196,43,2.2295081967213113,5,0.6080691642651297,61
349,12.008595988538682,43,11.326647564469914,47,2.25,3,0.5873925501432665,64
331,11.876132930513595,51,10.909365558912386,42,2.1964285714285716,4,0.6283987915407855,56
337,12.163204747774481,39,11.240356083086054,41,2.30188679245283,4,0.6379821958456974,53
353,11.76487252124646,46,11.696883852691219,52,2.370967741935484,4,0.5835694050991501,62
359,10.807799442896936,39,11.92200557103064,56,2.140625,4,0.6183844011142061,64
373,11.863270777479892,51,12.638069705093834,51,2.161764705882353,3,0.6058981233243967,68
379,12.139841688654354,51,12.49868073878628,60,2.2388059701492535,4,0.604221635883905,67
367,11.986376021798366,52,12.226158038147139,39,2.283333333333333,5,0.6267029972752044,60
