p,h_avg,h_max,n_avg,n_max,t_avg,t_max,total_singleton
149,6.23489932885906,24,6.476510067114094,27,1.1272727272727272,2,50
157,5.917197452229299,25,7.114649681528663,32,1.2,1,6
167,6.520958083832335,28,5.9640718562874255,29,1.2061855670103092,3,81
163,5.785276073619632,32,5.766871165644171,32,1.2444444444444445,4,74
173,6.364161849710983,39,6.6531791907514455,25,1.2222222222222223,3,98
179,7.837988826815643,29,6.441340782122905,40,1.1475409836065573,2,106
191,7.230366492146596,30,7.528795811518324,37,1.2285714285714286,4,115
197,6.33502538071066,26,7.1725888324873095,31,1.2371794871794872,4,128
181,6.823204419889502,31,6.6353591160221,27,1.218045112781955,3,109
193,7.362694300518135,32,6.637305699481865,33,1.2642857142857142,4,111
199,6.668341708542713,34,6.889447236180905,34,1.15,3,88
223,7.946188340807175,35,7.937219730941704,30,1.12,2,68
211,8.180094786729859,36,7.350710900473934,33,1.141732283464567,3,112
227,7.947136563876652,28,7.7312775330396475,34,1.1603773584905661,2,91
239,6.895397489539749,38,7.878661087866109,31,1.0666666666666667,2,30
241,8.759336099585063,38,8.518672199170124,37,1.1945945945945946,3,153
229,7.096069868995633,43,7.965065502183406,33,1.12,2,24
257,9.233463035019454,46,8.747081712062256,36,1.1325301204819278,3,147
251,7.745019920318725,45,7.49800796812749,38,1.1704545454545454,3,77
271,8.468634686346864,40,7.350553505535055,46,1.2,1,6
293,7.716723549488054,41,8.273037542662117,46,1.5,1,3
283,8.583038869257951,41,7.936395759717315,39,2,1,2
263,8.076045627376425,38,8.840304182509506,46,1.1411764705882352,3,76
277,9.126353790613718,52,9.299638989169676,44,2,1,2
311,8.392282958199356,53,9.215434083601286,60,1.135135135135135,2,34
317,8.523659305993691,44,8.050473186119874,52,1.3732394366197183,4,101
281,8.782918149466193,43,8.359430604982206,41,1.1261261261261262,3,100
233,7.459227467811159,42,7.5965665236051505,31,1.1676300578034682,3,144
313,8.495207667731629,51,8.460063897763579,47,1.3047210300429184,5,180
307,9.1628664495114,50,9.04885993485342,42,1.2,3,56
269,8.66542750929368,37,9.059479553903346,39,1.0508474576271187,2,58
349,9.550143266475645,47,9.636103151862464,43,1.2072072072072073,3,182
347,9.547550432276656,43,10.492795389048991,56,1.183673469387755,3,164
359,10.345403899721449,56,9.323119777158775,39,1.0641711229946524,2,177
331,9.36858006042296,42,10.226586102719033,51,1.105263157894737,2,155
337,9.148367952522255,41,10.344213649851632,39,1.2053231939163498,4,221
353,9.113314447592067,52,9.643059490084985,46,1.0897435897435896,2,73
373,10.68632707774799,51,10.214477211796247,51,1.0602409638554218,2,80
367,9.931880108991825,39,10.220708446866485,52,1.1968503937007875,4,215
397,9.483627204030226,57,8.443324937027707,46,1.1466666666666667,2,67
379,10.37467018469657,60,9.432717678100264,51,1.1056910569105691,3,113
383,9.540469973890339,53,10.433420365535248,54,1.2033195020746887,4,201
389,10.105398457583547,55,9.958868894601542,49,1.1870503597122302,3,235
401,10.53865336658354,50,10.062344139650873,48,1.1477272727272727,3,156
433,10.688221709006928,49,11.036951501154734,56,1.0921985815602837,3,131
419,10.274463007159904,51,10.202863961813842,50,1.1040462427745665,3,158
409,10.679706601466993,45,10.47921760391198,48,1.235483870967742,4,254
431,10.77494199535963,54,11.51276102088167,55,1.1761363636363635,4,300
443,10.571106094808126,54,10.941309255079007,57,1.2303030303030302,4,267
421,11.306413301662708,60,9.909738717339668,44,1.236923076923077,4,265
461,11.175704989154013,52,10.449023861171366,56,1.1568627450980393,3,178
479,10.478079331941546,66,10.697286012526096,59,1.049645390070922,2,136
463,10.557235421166308,61,10.654427645788337,50,1.1524663677130045,3,192
521,11.719769673704414,63,11.395393474088293,57,1.2109375,4,311
449,11.11358574610245,51,12.189309576837417,71,1.1244444444444444,3,200
467,10.314775160599572,58,11.30406852248394,58,1.1658536585365853,3,176
457,10.927789934354486,67,9.973741794310722,52,1.1992619926199262,4,232
491,11.615071283095723,55,10.54989816700611,54,1.1226415094339623,4,99
439,10.89749430523918,62,10.649202733485193,48,1.1944444444444444,4,275
499,10.887775551102205,57,11.264529058116233,60,1.239010989010989,4,291
487,11.507186858316222,73,11.728952772073923,51,1.175,4,240
541,11.576709796672828,66,11.946395563770794,58,1.304054054054054,5,227
523,12.202676864244742,64,11.508604206500957,56,1.2352941176470589,4,277
503,11.876739562624255,59,11.570576540755468,52,1.1380597014925373,3,236
557,12.692998204667864,62,12.703770197486534,63,1.1105769230769231,3,188
547,11.749542961608775,55,12.73308957952468,56,1.1150793650793651,3,227
571,11.896672504378284,71,11.53940455341506,57,1.240786240786241,5,332
563,12.156305506216697,67,12.818827708703374,68,1.2161572052401746,3,377
509,11.946954813359529,59,12.595284872298624,67,1.2113022113022114,4,335
593,13.261382799325464,72,12.789207419898819,64,1.1691542288557213,3,342
